brać,take,took,taken,
brać udział,partake,partook,partaken,
czytać,read,read,read,
dzwonić,ring,rang,rung,
leżeć,lie,lay,lain,
martwić/zachwiać/przewrócić,upset,upset,upset,
marznąć/zamarzać,freeze,froze,frozen,
mówić,speak,spoke,spoken,
mylić się,mistake,mistook,mistaken,
myśleć,think,thought,thought,
nakładać/pokrywać,overlay,overlaid,overlaid,
nosić/znosić/udźwignąć,bear,bore,borne,
odsprzedać,resell,resold,resold,
podejmować się czegoś/przedsięwziąc,undertake,undertook,undertaken,
podnajmować,sublet,sublet,sublet,
pokazywać,show,showed,showed/shown,
pokonać/przezwyciężyć,overcome,overcame,overcome,
połączyć/splatać,interweave,interwove,interwoven,
przechodzić/poddać się czemuś,undergo,underwent,undergone,
przerosnąć/wyrastać z czegoś,outgrow,outgrew,outgrown,
rozlać/wylać się,spill,spilt/spilled,spilt/spilled,
rozrzucić/rozsypać,strew,strewed,strewed/strewn,
siedzieć,sit,sat,sat,
skoczyć/przeskoczyć,leap,leapt/leaped,leapt/leaped,
stać,stand,stood,stood,
trząść się,shake,shook,shaken,
uczyć się,learn,learnt/learned,learnt/learned,
uderzać/trafić,hit,hit,hit,
ujrzeć/spostrzec/zobaczyć,behold,beheld,beheld,
wysyłać,send,sent,sent,
wytrzymać/znosić ból,withstand,withstood,withstood,
zaczynać,begin,began,begun,
znać/wiedzieć,know,knew,known,
źle usłyszeć,mishear,misheard,misheard,
